CASE: Uin = 0.026455 Ny = 21
X	Y	Z	U	V	W
6.0000000000 0.3000000119 -0.2500000000 0.1129444316 -0.0000365904 0.0000434806
6.0000000000 0.3499999940 -0.2500000000 0.0928547457 -0.0000263516 0.0000163424
6.0000000000 0.4000000060 -0.2500000000 0.0678987354 -0.0000126530 -0.0000267368
6.0000000000 0.4499999881 -0.2500000000 0.0372499563 -0.0000021344 -0.0000579014
6.0000000000 0.5000000000 -0.2500000000 -0.0000000068 0.0000000000 0.0000000034
6.0000000000 -0.5000000000 -0.2000000030 -0.0000000017 0.0000000000 0.0000000068
6.0000000000 -0.4499999881 -0.2000000030 0.0401717424 -0.0000044511 -0.0000621950
6.0000000000 -0.4000000060 -0.2000000030 0.0736080483 -0.0000043778 -0.0000390411
6.0000000000 -0.3499999940 -0.2000000030 0.1011048332 0.0000028788 0.0000017988
6.0000000000 -0.3000000119 -0.2000000030 0.1234168708 0.0000130769 0.0000331769
6.0000000000 -0.2500000000 -0.2000000030 0.1412132084 0.0000212461 0.0000412914
6.0000000000 -0.2000000030 -0.2000000030 0.1550538838 0.0000246901 0.0000296946
6.0000000000 -0.1500000060 -0.2000000030 0.1653827876 0.0000231638 0.0000070910
6.0000000000 -0.1000000015 -0.2000000030 0.1725328714 0.0000176619 -0.0000167438
6.0000000000 -0.0500000007 -0.2000000030 0.1767336428 0.0000094501 -0.0000342370
6.0000000000 0.0000000000 -0.2000000030 0.1781191528 -0.0000000255 -0.0000405751
6.0000000000 0.0500000007 -0.2000000030 0.1767336130 -0.0000094518 -0.0000342251
6.0000000000 0.1000000015 -0.2000000030 0.1725329012 -0.0000176466 -0.0000167200
6.0000000000 0.1500000060 -0.2000000030 0.1653828323 -0.0000231467 0.0000070944
6.0000000000 0.2000000030 -0.2000000030 0.1550539285 -0.0000246527 0.0000296827
6.0000000000 0.2500000000 -0.2000000030 0.1412132829 -0.0000212189 0.0000412318
6.0000000000 0.3000000119 -0.2000000030 0.1234169900 -0.0000130599 0.0000331565
6.0000000000 0.3499999940 -0.2000000030 0.1011048555 -0.0000028566 0.0000018022
6.0000000000 0.4000000060 -0.2000000030 0.0736080706 0.0000043574 -0.0000390343
6.0000000000 0.4499999881 -0.2000000030 0.0401717462 0.0000044648 -0.0000621302
6.0000000000 0.5000000000 -0.2000000030 -0.0000000034 0.0000000000 -0.0000000017
6.0000000000 -0.5000000000 -0.1500000060 0.0000000034 0.0000000000 0.0000000051
6.0000000000 -0.4499999881 -0.1500000060 0.0423217751 -0.0000100215 -0.0000564276
6.0000000000 -0.4000000060 -0.1500000060 0.0778174624 -0.0000207804 -0.0000409340
6.0000000000 -0.3499999940 -0.1500000060 0.1072056592 -0.0000228276 -0.0000066008
6.0000000000 -0.3000000119 -0.1500000060 0.1311859190 -0.0000165638 0.0000227948
6.0000000000 -0.2500000000 -0.1500000060 0.1503962725 -0.0000066976 0.0000340997
6.0000000000 -0.2000000030 -0.1500000060 0.1653840095 0.0000023285 0.0000288172
6.0000000000 -0.1500000060 -0.1500000060 0.1765941083 0.0000075985 0.0000128908
6.0000000000 -0.1000000015 -0.1500000060 0.1843655407 0.0000082219 -0.0000054472
6.0000000000 -0.0500000007 -0.1500000060 0.1889354587 0.0000051372 -0.0000193360
6.0000000000 0.0000000000 -0.1500000060 0.1904432923 0.0000000102 -0.0000244918
6.0000000000 0.0500000007 -0.1500000060 0.1889354438 -0.0000050929 -0.0000193547
6.0000000000 0.1000000015 -0.1500000060 0.1843656003 -0.0000082236 -0.0000054131
6.0000000000 0.1500000060 -0.1500000060 0.1765941232 -0.0000075560 0.0000128976
6.0000000000 0.2000000030 -0.1500000060 0.1653840989 -0.0000023302 0.0000287916
6.0000000000 0.2500000000 -0.1500000060 0.1503962576 0.0000066908 0.0000340606
6.0000000000 0.3000000119 -0.1500000060 0.1311859787 0.0000166439 0.0000227540
6.0000000000 0.3499999940 -0.1500000060 0.1072057486 0.0000228395 -0.0000066246
6.0000000000 0.4000000060 -0.1500000060 0.0778175592 0.0000207617 -0.0000409408
6.0000000000 0.4499999881 -0.1500000060 0.0423218682 0.0000099773 -0.0000564174
6.0000000000 0.5000000000 -0.1500000060 0.0000000017 0.0000000000 0.0000000051
6.0000000000 -0.5000000000 -0.1000000015 0.0000000000 0.0000000000 0.0000000034
6.0000000000 -0.4499999881 -0.1000000015 0.0437969752 -0.0000143144 -0.0000416383
6.0000000000 -0.4000000060 -0.1000000015 0.0807094797 -0.0000342243 -0.0000321154
6.0000000000 -0.3499999940 -0.1000000015 0.1114045307 -0.0000448787 -0.0000075428
6.0000000000 -0.3000000119 -0.1000000015 0.1365438849 -0.0000434060 0.0000148417
6.0000000000 -0.2500000000 -0.1000000015 0.1567418724 -0.0000336824 0.0000251843
6.0000000000 -0.2000000030 -0.1000000015 0.1725354493 -0.0000212628 0.0000236611
6.0000000000 -0.1500000060 -0.1000000015 0.1843669266 -0.0000105469 0.0000139280
6.0000000000 -0.1000000015 -0.1000000015 0.1925778687 -0.0000036161 0.0000018345
6.0000000000 -0.0500000007 -0.1000000015 0.1974093914 -0.0000006149 -0.0000075950
6.0000000000 0.0000000000 -0.1000000015 0.1990040988 -0.0000000119 -0.0000111412
6.0000000000 0.0500000007 -0.1000000015 0.1974093467 0.0000006592 -0.0000076035
6.0000000000 0.1000000015 -0.1000000015 0.1925779581 0.0000036025 0.0000018293
6.0000000000 0.1500000060 -0.1000000015 0.1843669564 0.0000105061 0.0000139042
6.0000000000 0.2000000030 -0.1000000015 0.1725354940 0.0000212730 0.0000236253
6.0000000000 0.2500000000 -0.1000000015 0.1567419171 0.0000336892 0.0000252047
6.0000000000 0.3000000119 -0.1000000015 0.1365438998 0.0000434197 0.0000148162
6.0000000000 0.3499999940 -0.1000000015 0.1114046276 0.0000449179 -0.0000075701
6.0000000000 0.4000000060 -0.1000000015 0.0807095766 0.0000342533 -0.0000321444
6.0000000000 0.4499999881 -0.1000000015 0.0437970944 0.0000143825 -0.0000417065
6.0000000000 0.5000000000 -0.1000000015 -0.0000000017 0.0000000000 0.0000000000
6.0000000000 -0.5000000000 -0.0500000007 -0.0000000017 0.0000000000 0.0000000017
6.0000000000 -0.4499999881 -0.0500000007 0.0446595103 -0.0000172802 -0.0000204470
6.0000000000 -0.4000000060 -0.0500000007 0.0824014023 -0.0000431132 -0.0000151388
6.0000000000 -0.3499999940 -0.0500000007 0.1138634458 -0.0000595199 -0.0000022162
6.0000000000 -0.3000000119 -0.0500000007 0.1396851093 -0.0000617552 0.0000098763
6.0000000000 -0.2500000000 -0.0500000007 0.1604665816 -0.0000529270 0.0000158992
6.0000000000 -0.2000000030 -0.0500000007 0.1767375618 -0.0000385737 0.0000156366
6.0000000000 -0.1500000060 -0.0500000007 0.1889381558 -0.0000242245 0.0000110443
6.0000000000 -0.1000000015 -0.0500000007 0.1974107027 -0.0000129280 0.0000051116
6.0000000000 -0.0500000007 -0.0500000007 0.2023980767 -0.0000052325 0.0000002964
6.0000000000 0.0000000000 -0.0500000007 0.2040445507 0.0000000068 -0.0000014853
6.0000000000 0.0500000007 -0.0500000007 0.2023980767 0.0000052700 0.0000002930
6.0000000000 0.1000000015 -0.0500000007 0.1974107623 0.0000129127 0.0000050690
6.0000000000 0.1500000060 -0.0500000007 0.1889382005 0.0000242688 0.0000110119
6.0000000000 0.2000000030 -0.0500000007 0.1767376661 0.0000385891 0.0000156366
6.0000000000 0.2500000000 -0.0500000007 0.1604666412 0.0000528725 0.0000158873
6.0000000000 0.3000000119 -0.0500000007 0.1396851987 0.0000617824 0.0000098917
6.0000000000 0.3499999940 -0.0500000007 0.1138635501 0.0000595471 -0.0000021566
6.0000000000 0.4000000060 -0.0500000007 0.0824014917 0.0000431081 -0.0000151336
6.0000000000 0.4499999881 -0.0500000007 0.0446595699 0.0000173398 -0.0000204726
6.0000000000 0.5000000000 -0.0500000007 0.0000000034 0.0000000000 -0.0000000034
6.0000000000 -0.5000000000 0.0000000000 0.0000000119 0.0000000017 0.0000000017
6.0000000000 -0.4499999881 0.0000000000 0.0449437946 -0.0000182495 0.0000041020
6.0000000000 -0.4000000060 0.0000000000 0.0829591155 -0.0000461284 0.0000060541
6.0000000000 -0.3499999940 0.0000000000 0.1146741062 -0.0000645741 0.0000067354
6.0000000000 -0.3000000119 0.0000000000 0.1407211125 -0.0000681736 0.0000067438
6.0000000000 -0.2500000000 0.0000000000 0.1616955996 -0.0000596553 0.0000064830
6.0000000000 -0.2000000030 0.0000000000 0.1781245321 -0.0000447875 0.0000061729
6.0000000000 -0.1500000060 0.0000000000 0.1904474795 -0.0000292151 0.0000058969
6.0000000000 -0.1000000015 0.0000000000 0.1990068555 -0.0000163533 0.0000057469
6.0000000000 -0.0500000007 0.0000000000 0.2040459216 -0.0000070311 0.0000056225
6.0000000000 0.0000000000 0.0000000000 0.2057095617 0.0000000051 0.0000055748
6.0000000000 0.0500000007 0.0000000000 0.2040459365 0.0000070107 0.0000055987
6.0000000000 0.1000000015 0.0000000000 0.1990069151 0.0000163363 0.0000057401
6.0000000000 0.1500000060 0.0000000000 0.1904475391 0.0000292254 0.0000059020
6.0000000000 0.2000000030 0.0000000000 0.1781245917 0.0000447841 0.0000061780
6.0000000000 0.2500000000 0.0000000000 0.1616956443 0.0000596451 0.0000065052
6.0000000000 0.3000000119 0.0000000000 0.1407212019 0.0000681822 0.0000067830
6.0000000000 0.3499999940 0.0000000000 0.1146742478 0.0000645928 0.0000067371
6.0000000000 0.4000000060 0.0000000000 0.0829592124 0.0000460807 0.0000060627
6.0000000000 0.4499999881 0.0000000000 0.0449438691 0.0000182427 0.0000040679
6.0000000000 0.5000000000 0.0000000000 -0.0000000034 0.0000000000 -0.0000000085
6.0000000000 -0.5000000000 0.0500000007 0.0000000000 0.0000000000 0.0000000000
6.0000000000 -0.4499999881 0.0500000007 0.0446610376 -0.0000172121 0.0000284484
6.0000000000 -0.4000000060 0.0500000007 0.0824038014 -0.0000429940 0.0000270341
6.0000000000 -0.3499999940 0.0500000007 0.1138662919 -0.0000593803 0.0000154400
6.0000000000 -0.3000000119 0.0500000007 0.1396881044 -0.0000615610 0.0000033608
6.0000000000 -0.2500000000 0.0500000007 0.1604696661 -0.0000526239 -0.0000031172
6.0000000000 -0.2000000030 0.0500000007 0.1767405421 -0.0000383915 -0.0000034118
6.0000000000 -0.1500000060 0.0500000007 0.1889410615 -0.0000240780 0.0000006728
6.0000000000 -0.1000000015 0.0500000007 0.1974135786 -0.0000128088 0.0000062306
6.0000000000 -0.0500000007 0.0500000007 0.2024008781 -0.0000052495 0.0000107682
6.0000000000 0.0000000000 0.0500000007 0.2040473819 -0.0000000085 0.0000125310
6.0000000000 0.0500000007 0.0500000007 0.2024008930 0.0000052478 0.0000108073
6.0000000000 0.1000000015 0.0500000007 0.1974136680 0.0000127951 0.0000062630
6.0000000000 0.1500000060 0.0500000007 0.1889410913 0.0000240831 0.0000006711
6.0000000000 0.2000000030 0.0500000007 0.1767405570 0.0000384239 -0.0000034322
6.0000000000 0.2500000000 0.0500000007 0.1604696363 0.0000526647 -0.0000030899
6.0000000000 0.3000000119 0.0500000007 0.1396881342 0.0000615253 0.0000033932
6.0000000000 0.3499999940 0.0500000007 0.1138663813 0.0000593309 0.0000154178
6.0000000000 0.4000000060 0.0500000007 0.0824038759 0.0000429480 0.0000269949
6.0000000000 0.4499999881 0.0500000007 0.0446611270 0.0000172104 0.0000283972
6.0000000000 0.5000000000 0.0500000007 -0.0000000051 0.0000000000 -0.0000000034
6.0000000000 -0.5000000000 0.1000000015 0.0000000000 0.0000000000 0.0000000034
6.0000000000 -0.4499999881 0.1000000015 0.0437999889 -0.0000143110 0.0000491763
6.0000000000 -0.4000000060 0.1000000015 0.0807141736 -0.0000340472 0.0000433448
6.0000000000 -0.3499999940 0.1000000015 0.1114100590 -0.0000444904 0.0000201806
6.0000000000 -0.3000000119 0.1000000015 0.1365497261 -0.0000429871 -0.0000021991
6.0000000000 -0.2500000000 0.1000000015 0.1567478329 -0.0000332634 -0.0000130052
6.0000000000 -0.2000000030 0.1000000015 0.1725413948 -0.0000208796 -0.0000120171
6.0000000000 -0.1500000060 0.1000000015 0.1843727082 -0.0000101773 -0.0000027713
6.0000000000 -0.1000000015 0.1000000015 0.1925836354 -0.0000034492 0.0000089475
6.0000000000 -0.0500000007 0.1000000015 0.1974150538 -0.0000005638 0.0000181605
6.0000000000 0.0000000000 0.1000000015 0.1990097314 0.0000000136 0.0000215858
6.0000000000 0.0500000007 0.1000000015 0.1974150836 0.0000006166 0.0000181707
6.0000000000 0.1000000015 0.1000000015 0.1925837398 0.0000034100 0.0000089509
6.0000000000 0.1500000060 0.1000000015 0.1843728125 0.0000101790 -0.0000027645
6.0000000000 0.2000000030 0.1000000015 0.1725414097 0.0000208285 -0.0000120137
6.0000000000 0.2500000000 0.1000000015 0.1567478329 0.0000332907 -0.0000129797
6.0000000000 0.3000000119 0.1000000015 0.1365498155 0.0000429752 -0.0000022229
6.0000000000 0.3499999940 0.1000000015 0.1114101112 0.0000445125 0.0000201891
6.0000000000 0.4000000060 0.1000000015 0.0807142258 0.0000339978 0.0000433482
6.0000000000 0.4499999881 0.1000000015 0.0438000336 0.0000142855 0.0000492053
6.0000000000 0.5000000000 0.1000000015 0.0000000085 -0.0000000034 0.0000000051
6.0000000000 -0.5000000000 0.1500000060 0.0000000068 0.0000000017 0.0000000068
6.0000000000 -0.4499999881 0.1500000060 0.0423260480 -0.0000098921 0.0000632519
6.0000000000 -0.4000000060 0.1500000060 0.0778242201 -0.0000204160 0.0000511668
6.0000000000 -0.3499999940 0.1500000060 0.1072136685 -0.0000222724 0.0000181483
6.0000000000 -0.3000000119 0.1500000060 0.1311945319 -0.0000159370 -0.0000111471
6.0000000000 -0.2500000000 0.1500000060 0.1504050344 -0.0000060163 -0.0000228831
6.0000000000 -0.2000000030 0.1500000060 0.1653927118 0.0000028940 -0.0000181100
6.0000000000 -0.1500000060 0.1500000060 0.1766026914 0.0000080023 -0.0000026742
6.0000000000 -0.1000000015 0.1500000060 0.1843741685 0.0000084706 0.0000152839
6.0000000000 -0.0500000007 0.1500000060 0.1889438629 0.0000052445 0.0000290262
6.0000000000 0.0000000000 0.1500000060 0.1904516965 -0.0000000307 0.0000340730
6.0000000000 0.0500000007 0.1500000060 0.1889438778 -0.0000052087 0.0000290279
6.0000000000 0.1000000015 0.1500000060 0.1843741834 -0.0000084962 0.0000153180
6.0000000000 0.1500000060 0.1500000060 0.1766027212 -0.0000080074 -0.0000026555
6.0000000000 0.2000000030 0.1500000060 0.1653926522 -0.0000029127 -0.0000180896
6.0000000000 0.2500000000 0.1500000060 0.1504049897 0.0000060419 -0.0000228456
6.0000000000 0.3000000119 0.1500000060 0.1311945319 0.0000159626 -0.0000111692
6.0000000000 0.3499999940 0.1500000060 0.1072137058 0.0000222741 0.0000181296
6.0000000000 0.4000000060 0.1500000060 0.0778243244 0.0000204177 0.0000511685
6.0000000000 0.4499999881 0.1500000060 0.0423261300 0.0000098597 0.0000632553
6.0000000000 0.5000000000 0.1500000060 0.0000000017 0.0000000000 0.0000000000
6.0000000000 -0.5000000000 0.2000000030 0.0000000000 0.0000000000 0.0000000000
6.0000000000 -0.4499999881 0.2000000030 0.0401771851 -0.0000042689 0.0000680636
6.0000000000 -0.4000000060 0.2000000030 0.0736166686 -0.0000038685 0.0000479894
6.0000000000 -0.3499999940 0.2000000030 0.1011151373 0.0000035908 0.0000083093
6.0000000000 -0.3000000119 0.2000000030 0.1234279871 0.0000138026 -0.0000229856
6.0000000000 -0.2500000000 0.2000000030 0.1412244886 0.0000219633 -0.0000313830
6.0000000000 -0.2000000030 0.2000000030 0.1550651789 0.0000253545 -0.0000203109
6.0000000000 -0.1500000060 0.2000000030 0.1653939486 0.0000237226 0.0000018975
6.0000000000 -0.1000000015 0.2000000030 0.1725439131 0.0000180060 0.0000254394
6.0000000000 -0.0500000007 0.2000000030 0.1767445505 0.0000096085 0.0000427640
6.0000000000 0.0000000000 0.2000000030 0.1781300008 -0.0000000102 0.0000490834
6.0000000000 0.0500000007 0.2000000030 0.1767445952 -0.0000095932 0.0000427964
6.0000000000 0.1000000015 0.2000000030 0.1725439578 -0.0000180282 0.0000254241
6.0000000000 0.1500000060 0.2000000030 0.1653939635 -0.0000237277 0.0000019009
6.0000000000 0.2000000030 0.2000000030 0.1550652087 -0.0000253869 -0.0000203177
6.0000000000 0.2500000000 0.2000000030 0.1412245035 -0.0000219906 -0.0000314273
6.0000000000 0.3000000119 0.2000000030 0.1234279871 -0.0000138605 -0.0000229635
6.0000000000 0.3499999940 0.2000000030 0.1011151224 -0.0000035942 0.0000082957
6.0000000000 0.4000000060 0.2000000030 0.0736167431 0.0000039196 0.0000479673
6.0000000000 0.4499999881 0.2000000030 0.0401772261 0.0000042825 0.0000680295
6.0000000000 0.5000000000 0.2000000030 -0.0000000034 0.0000000000 0.0000000034
6.0000000000 -0.5000000000 0.2500000000 -0.0000000017 0.0000000000 0.0000000017
